,Bed,Bath,m²,Price,Address,Property_type,New_build,Page,County,Province
0,2.0,1.0,52.0,295000.0,"8 Parknasilla, Vevay Road, Bray, Co. Wicklow",Apartment,no,0,Wicklow,Leinster
1,3.0,3.0,93.0,230000.0,"7 Meadow Avenue, The Meadows, Hollyhill, Co. Cork",Semi-D,no,0,Cork,Munster
2,4.0,3.0,86.0,265000.0,"5 Friar Street, Cork City, Co. Cork",Terrace,no,0,Cork,Munster
3,3.0,1.0,82.0,375000.0,"12 Barrack Street, Kinsale, Co. Cork",End of Terrace,no,0,Cork,Munster
4,5.0,4.0,186.0,405000.0,"3 The Garden, Whitefield Manor, Bettystown, Co. Meath",Semi-D,no,0,Meath,Leinster
5,6.0,7.0,763.0,3000000.0,"7 Henrietta Street, Dublin 1",Terrace,no,0,Dublin 1,Leinster
6,5.0,5.0,328.0,795000.0,"Zion House, Carnmore West, Carnmore, Co. Galway",Detached,no,0,Galway,Connaught
7,5.0,4.0,232.0,625000.0,"3 The Fairways, Maryborough Hill, Douglas, Co. Cork",Detached,no,0,Cork,Munster
8,3.0,2.0,171.0,230000.0,"Derryart, Dunfanaghy, Co. Donegal",Detached,no,0,Donegal,Ulster
9,4.0,3.0,125.0,295000.0,"168 Palace Fields, Tuam, Co. Galway",Semi-D,no,0,Galway,Connaught
10,5.0,6.0,371.0,,"Kilclare House, Conna, Co. Cork",Detached,no,0,Cork,Munster
11,5.0,5.0,781.0,10000000.0,"Drumleck House, Ceanchor Road, Howth, Dublin 13",Detached,no,0,Dublin 13,Leinster
12,4.0,3.0,200.0,875000.0,"13 Inverness Road, Fairview, Fairview, Dublin 3",Terrace,no,0,Dublin 3,Leinster
13,4.0,2.0,152.0,895000.0,"3 Ballymun Road, Glasnevin, Dublin 9",Detached,no,0,Dublin 9,Leinster
14,4.0,3.0,,725000.0,"Mallahow, Naul, Co. Dublin",Semi-D,no,0,Dublin,Leinster
15,1.0,1.0,48.0,270000.0,"Apartment 133, Block F, Bellevue, Islandbridge, Dublin 8",Apartment,no,0,Dublin 8,Leinster
16,4.0,3.0,181.0,495000.0,"13 Robin Vale, Herons Wood, Carrigaline, Co. Cork",Detached,no,0,Cork,Munster
17,2.0,2.0,60.0,245000.0,"4 Newlands Manor Drive, Clondalkin, Clondalkin, Dublin 22",Apartment,no,0,Dublin 22,Leinster
18,7.0,8.0,268.0,1200000.0,"Waterside House, Dromderrig, Kinsale, Co. Cork",Detached,no,0,Cork,Munster
19,0.0,0.0,3035.0855894136216,,"The Paddocks, Killeen Castle, Dunsany, Co. Meath",Site,no,0,Meath,Leinster
20,4.0,3.0,,200000.0,"Moyra, Falcarragh, Co. Donegal",Detached,no,1,Donegal,Ulster
21,3.0,3.0,116.0,310000.0,"23 Kinvara Park, Ballyvolane, Ballyvolane, Co. Cork",Semi-D,no,1,Cork,Munster
22,5.0,3.0,282.0,550000.0,"23 Tower Hill, Kilcoolishal, Glanmire, Co. Cork",Detached,no,1,Cork,Munster
23,3.0,1.0,59.0,195000.0,"54 Prosperity Square, Barrack Street, Cork City, Co. Cork",Terrace,no,1,Cork,Munster
24,4.0,3.0,128.0,650000.0,"LITTLE RASCALS, Ballagh, Monasterevin, Co. Kildare",Detached,no,1,Kildare,Leinster
25,3.0,2.0,102.0,210000.0,"27 Ard Michael, Ballinalee Road, Longford Town, Co. Longford",Semi-D,no,1,Longford,Leinster
26,3.0,3.0,83.0,215000.0,"140 Ashefield, Mullingar, Co. Westmeath",Semi-D,no,1,Westmeath,Leinster
27,4.0,3.0,,235000.0,"37 Curragh Park, Mullagh, Co. Cavan",Semi-D,no,1,Cavan,Ulster
28,2.0,1.0,61.0,265000.0,"1A McCurtains Villas, College Road, Cork City, Co. Cork",Semi-D,no,1,Cork,Munster
29,3.0,1.0,101.0,160000.0,"1 Thatched Cottages, Bauroe, Feakle, Co. Clare",Detached,no,1,Clare,Munster
30,2.0,1.0,72.0,575000.0,"5 Cedar Cottages, Linden Grove, Blackrock, Co. Dublin",End of Terrace,no,1,Dublin,Leinster
31,4.0,3.0,136.0,515000.0,"77 Somerton, Donabate, Co. Dublin",Semi-D,no,1,Dublin,Leinster
32,4.0,2.0,124.0,400000.0,"7 Heron Court, North Circular Road, North Circular Road, Co. Limerick",Semi-D,no,1,Limerick,Munster
33,3.0,1.0,104.0,230000.0,"Sancta Maria, Church View, Tuam, Co. Galway",Detached,no,1,Galway,Connaught
34,3.0,1.0,70.0,340000.0,"69 Kilbarron Park, Kilmore, Kilmore, Dublin 5",Terrace,no,1,Dublin 5,Leinster
35,2.0,1.0,57.0,320000.0,"Tykillen, Gooig, Castleconnell, Co. Limerick",Detached,no,1,Limerick,Munster
36,3.0,3.0,96.0,238950.0,"39 Corran Ard, Athy, Co. Kildare",Semi-D,no,1,Kildare,Leinster
37,5.0,3.0,,925000.0,"5 Stepaside Park, Stepaside, Dublin 18",Detached,no,1,Dublin 18,Leinster
38,2.0,2.0,143.0,995000.0,"28 Leeson Park Avenue, Ranelagh, Ranelagh, Dublin 6",Terrace,no,1,Dublin 6,Leinster
39,3.0,3.0,115.0,350000.0,"54 Bellflower Close, Forest Hill, Carrigaline, Co. Cork",Semi-D,no,1,Cork,Munster
40,3.0,3.0,90.0,280000.0,"17 Forgehill Green, Stamullen, Co. Meath",Terrace,no,2,Meath,Leinster
41,4.0,4.0,,320000.0,"Carrowntryla, Dunmore, Co. Galway",Detached,no,2,Galway,Connaught
42,4.0,2.0,171.0,495000.0,"Kiltoghert, Stadalt, Stamullen, Co. Meath",Detached,no,2,Meath,Leinster
43,4.0,5.0,235.0,600000.0,"Peacockstown, Mulhuddart, Kilbride, Co. Meath",Detached,no,2,Meath,Leinster
44,4.0,2.0,176.0,425000.0,"The Acres, Brooklodge, Glanmire, Co. Cork",Detached,no,2,Cork,Munster
45,3.0,2.0,88.0,140000.0,"38 Orchard Court, Blackpool, Blackpool, Co. Cork",Terrace,no,2,Cork,Munster
46,5.0,2.0,265.0,1475000.0,"Fern House, 126, Ranelagh, Dublin 6",Terrace,no,2,Dublin 6,Leinster
