,Date,Address,New_price,Old_price,Change(€),Change(%),Page,County,Province
0,2022-11-26," 5 Woodbrook Hall, Carpenterstown, Dublin 15 ",295000,275000,20000,7.27,1,Dublin 15,Leinster
1,2022-11-25," 18 The Crescent, Cnoc na Greine, Kilcullen, Kildare ",379950,369950,10000,2.7,1,Kildare,Leinster
2,2022-11-25," 9 Hawthorn House, Carrickmines Green, Carrickmines, Dublin 18 ",430000,399950,30050,7.51,1,Dublin 18,Leinster
3,2022-11-25," Ballybricken, Grange, Limerick ",99000,100000,-1000,-1.0,1,Limerick,Munster
4,2022-11-25," 5 Woodstown Rise, Knocklyon, Dublin 16 ",505000,530000,-25000,-4.72,1,Dublin 16,Leinster
5,2022-11-25," Weatherfort,Clogher, Claremorris, Mayo ",55000,65000,-10000,-15.38,1,Mayo,Connaught
6,2022-11-25," 23 Oakwood, Old Singland Road, Limerick City ",300000,275000,25000,9.09,1,Limerick,Munster
7,2022-11-25," 15 Melvin Road, Terenure, Dublin 6W ",395000,445000,-50000,-11.24,1,Dublin,Leinster
8,2022-11-25," 21 Canal Court, Whitefields, Portarlington, Co. Laois ",215000,225000,-10000,-4.44,1,Laois,Leinster
9,2022-11-25," High Street, Bantry, Co. Cork ",175000,200000,-25000,-12.5,1,Cork,Munster
10,2022-11-25," Ballinaclogh, Rosscarbery,   Cork West ",160000,150000,10000,6.67,1,Cork,Munster
11,2022-11-25," Apt. 53 Harbour Court, George's Place, , Dun Laoghaire, Dublin ",515000,560000,-45000,-8.04,1,Dublin,Leinster
12,2022-11-25," The Forge, Tenure, Dunleer, Louth ",750000,800000,-50000,-6.25,1,Louth,Leinster
13,2022-11-24," 76 Brandon Road, Drimnagh, Dublin 12 ",319950,349950,-30000,-8.57,2,Dublin 12,Leinster
14,2022-11-24," 22 The Fairway, The Old Course, Mallow, Co. Cork ",220000,230000,-10000,-4.35,2,Cork,Munster
15,2022-11-24," 58 Hazel Brooke, Spa Glen, Mallow, Co. Cork ",220000,225000,-5000,-2.22,2,Cork,Munster
16,2022-11-24," 28 Aylesbury Avenue, Aylesbury, Ferrybank, Co. Waterford ",325000,350000,-25000,-7.14,2,Waterford,Munster
17,2022-11-24," 42 Turret Road, Palmerstown, Palmerstown, Dublin 20, Palmerstown, Dublin 20 ",350000,425000,-75000,-17.65,2,Dublin 20,Leinster
18,2022-11-24," 20 Fairway Drive, Cualanor, Dun Laoghaire, Dublin ",975000,1000000,-25000,-2.5,2,Dublin,Leinster
19,2022-11-24," 2 Woodbine Avenue , Booterstown, County Dublin ",645000,695000,-50000,-7.19,2,Dublin,Leinster
20,2022-11-24," 9 Double Lane, Maynooth, Co. Kildare ",315000,325000,-10000,-3.08,2,Kildare,Leinster
21,2022-11-24," 17 Scelig Ard, Headford Road, Galway ",330000,340000,-10000,-2.94,2,Galway,Connaught
22,2022-11-24," Patriciain Park, Castlebar, Mayo ",235000,255000,-20000,-7.84,2,Mayo,Connaught
23,2022-11-24," 2 Riverwalk Cottage, Drumcliff, Sligo ",295000,250000,45000,18.0,2,Sligo,Connaught
24,2022-11-24," 29 Harcourt Green, Charlemont Street, Dublin 2, South City Centre, Dublin 2 ",495000,525000,-30000,-5.71,2,Dublin 2,Leinster
25,2022-11-24," St. Patrick's, Drombanna, Limerick ",455000,490000,-35000,-7.14,2,Limerick,Munster
26,2022-11-24,"  Wilton, Bree, Co. Wexford, Bree, Wexford ",430000,450000,-20000,-4.44,2,Wexford,Leinster
27,2022-11-24," Ballymore Lodge, Valley Road, Ballymore, Cobh, County Cork, Cobh, Cork ",1350000,1750000,-400000,-22.86,2,Cork,Munster
28,2022-11-24," 223 Viewmount Park, Waterford City, Waterford ",339000,349000,-10000,-2.87,3,Waterford,Munster
