,Bed,Bath,m²,Price,Address,Property_type,New_build,Page
0,5.0,4.0,332.0,550000,"Mountain View, Lissaleen, Kilconly, Co. Galway",Detached,no,0
1,4.0,2.0,200.0,450000,"Kiltrasna, Headford, Co. Galway",Detached,no,0
2,4.0,3.0,150.0,265000,"111 Cois Na H-Abhainn, Ballygaddy Road, Tuam, Co. Galway",Detached,no,0
3,7.0,4.0,316.0,695000,"Kiltrasna House, Kiltrasna, Headford, Co. Galway",Detached,no,0
4,3.0,1.0,75.0,225000,"179 Kilnap Place, Farranree, Farranree, Co. Cork",Terrace,no,0
5,3.0,3.0,93.0,230000,"7 Meadow Avenue, The Meadows, Hollyhill, Co. Cork",Semi-D,no,0
6,4.0,3.0,86.0,265000,"5 Friar Street, Cork City, Co. Cork",Terrace,no,0
7,3.0,1.0,82.0,375000,"12 Barrack Street, Kinsale, Co. Cork",End of Terrace,no,0
8,6.0,7.0,763.0,3000000,"7 Henrietta Street, Dublin 1",Terrace,no,0
9,5.0,5.0,328.0,795000,"Zion House, Carnmore West, Carnmore, Co. Galway",Detached,no,0
10,3.0,2.0,171.0,230000,"Derryart, Dunfanaghy, Co. Donegal",Detached,no,0
11,4.0,3.0,125.0,295000,"168 Palace Fields, Tuam, Co. Galway",Semi-D,no,0
12,5.0,6.0,371.0,485000,"Kilclare House, Conna, Co. Cork",Detached,no,0
13,5.0,5.0,781.0,10000000,"Drumleck House, Ceanchor Road, Howth, Dublin 13",Detached,no,0
14,4.0,3.0,200.0,875000,"13 Inverness Road, Fairview, Fairview, Dublin 3",Terrace,no,0
15,4.0,2.0,152.0,895000,"3 Ballymun Road, Glasnevin, Dublin 9",Detached,no,0
16,4.0,3.0,181.0,495000,"13 Robin Vale, Herons Wood, Carrigaline, Co. Cork",Detached,no,0
17,5.0,3.0,282.0,Price on Application,"23 Tower Hill, Kilcoolishal, Glanmire, Co. Cork",Detached,no,0
18,3.0,1.0,59.0,195000,"54 Prosperity Square, Barrack Street, Cork City, Co. Cork",Terrace,no,0
19,4.0,2.0,234.0,479000,"Swallows Cottage, Kilfenora, Fenit, Co. Kerry",Detached,no,0
20,4.0,3.0,,650000,"31 Eden Court, Rathfarnham, Dublin 16",End of Terrace,no,1
21,3.0,3.0,98.0,340000,"125 Ros Caoin, Roscam, Roscam, Co. Galway",Semi-D,no,1
22,3.0,2.0,,219000,"Tranquil View, Glenlea, Ballyheigue, Co. Kerry",Detached,no,1
23,4.0,3.0,108.0,350000,"27 An Mhainistir, Lakeview, Claregalway, Co. Galway",Semi-D,no,1
24,3.0,3.0,88.0,425000,"91 Bohermore, Galway City, Co. Galway",Terrace,no,1
25,4.0,4.0,,425000,"5 Liam Mellows Terrace, Bohermore, Bohermore, Co. Galway",Semi-D,no,1
26,4.0,2.0,154.0,875000,"Filmar, 2 Wansdowne, Blackrock, Co. Dublin",Detached,no,1
27,6.0,3.0,278.0,525000,"Clonad, Tullamore, Co. Offaly",Detached,no,1
28,6.0,6.0,221.0,975000,"7 Oxford Road, Ranelagh, Ranelagh, Dublin 6",End of Terrace,no,1
