,Date,Address,Price,Page
0,2022-12-09,"35B Woodfield Park, Newcastle West, Co. Limerick, V42r634",205000,1
1,2022-12-09,"40 Aherlow Close, Old Cratloe Rd, Co. Limerick, V94h1rw",214000,1
2,2022-12-09,"6 Ballyvareen, Kildimo, Co. Limerick, V94xap0",292500,1
3,2022-12-09,"70 Newtown Manor, Monaleen, Co. Limerick",375000,1
4,2022-12-09,"18 Raithin Eoighan, Mullingar, Co. Westmeath, N91a2y6",170000,1
5,2022-12-09,"19 Deravarra, Delvin Rd, Mullingar, Co. Westmeath, N91d5h0",306000,1
6,2022-12-09,"280B Greenpark Meadows, Mullingar, Co. Westmeath, N91c7k7",250000,1
7,2022-12-09,"8 The Court, Market Point, Mullingar, Co. Westmeath, N91vw21",181000,1
8,2022-12-09,"13 Holywell Crescent, Kilcoole, Co. Wicklow, A63w680",450000,1
9,2022-12-09,"32 Hawkins Wood Drive, Hawkins Wood, Greystones, Co. Wicklow",449339,1
10,2022-12-09,"35 Beechwood Park, Kilcoole, Co. Wicklow, A63xv02",370000,1
11,2022-12-08,"17 Cluain Na Spideoga, Cloghan, Co. Offaly, R42v594",175000,1
12,2022-12-08,"62 Pearse Park, Tullamore, Co. Offaly, R35kx51",179000,1
13,2022-12-08,"17 The Green, Lakepoint Pk, Mullingar, Co. Westmeath, N91c2r4",250000,1
14,2022-12-08,"4 Patrick Street, Mullingar, Co. Westmeath",85000,1
15,2022-12-08,"Apt 16 The Court, Market Point, Mullingar, Co. Westmeath, N91ft61",180000,1
16,2022-12-08,"Ballard, Walshestown, N91vah0, Mullingar, Co. Westmeath",825000,1
17,2022-12-08,"Ballinacarrow, Rathconrath, Mullingar, Co. Westmeath",290000,1
18,2022-12-08,"11 The Drive, Meadowvale, Arklow, Co. Wicklow, Y14tx36",315000,1
19,2022-12-08,"2 Alexandra Terrace, Coolgreany Rd, Arklow, Co. Wicklow, Y14xv83",380000,1
20,2022-12-08,"54 Woodglade, Fenagh, Co. Carlow, R21rd37",215000,2
21,2022-12-08,"1 Pound Street, Dunfanaghy, Co. Donegal",159207,2
22,2022-12-08,"52 Cloncool Park, Buncrana, Co. Donegal, F93ed81",80000,2
23,2022-12-08,"70 Crieve Mor Avenue, Crievesmith, Letterkenny, Co. Donegal",229225,2
